Name,surfaceArea_sqkm,latitude,longitude,Ownership,Primary Ownership,Annual_solar_potential,Annual_evaporation,Max_ice_depth,max_wind_ms,nearest_dist_m,state,Annual_solar_potential_witharea_GWh,log_Annual_solar_GWh,Capacity_Factor,purposeIds,latitude_nid,longitude_nid,Ice_binary,max_wind_cat3,annual_evap_cat3,max_HAB_2020_2024,HAB_flag_20k
Salton Sea,943.3053798,33.30783647,-115.7735926,"Federal,Public Utility, Tribal",Federal,2192.263091,1.375494227,0.0,10.90452194,12745.53465,California,206797.3568,5.315544983,0.20020667497716893,,,,0,2,2,409260.66,1
Hoover Dam,658.424122,36.0163,-114.7374,Federal,Federal,2120.665031111111,1.9731814,0.0,10.17990779876709,0.0,Nevada,139629.7011165436,5.144977808394773,0.19366803937087773,Hydroelectric;Irrigation;Water Supply,36.0163,-114.7374,0,1,3,,0
Glen Canyon Dam,650.6703382,36.9379,-111.4842,Federal,Federal,2114.60864,1.5219715,0.0,10.296112060546877,0.0,Arizona,137591.31190340265,5.138591011577286,0.19311494429223744,Hydroelectric;Other;Irrigation;Recreation,36.9379,-111.4842,0,1,2,,0
Lake Tahoe Dam,485.62320000000005,39.1671,-120.144,Federal,Federal,1984.2571377777776,1.417504,0.395751953,9.617185592651367,117.12998831013398,California,96360.13008704854,4.983897377628186,0.1812106975139523,Irrigation,39.1671,-120.144,1,1,2,,0
Goose Lake,376.5515116,41.93000717,-120.4327352,"Federal, Private, State",,1874.454918,1.259722185,0.73223877,12.95931244,8196.084019,California,70582.88329,4.848699395,0.17118309753424657,,,,1,2,1,1976969.6,1
Link River Diversion,343.98310000000004,42.2339,-121.8019,Federal,Federal,1788.6030222222223,1.3264837,0.277526855,8.628714561462402,0.0,Oregon,61524.92123,4.7890510663175725,0.1633427417554541,Hydroelectric;Irrigation;Recreation,42.2339,-121.8019,1,1,1,,0
Yellowstone Lake,341.724635,44.42082395,-110.5365145,Federal,,1749.663322,1.014854862,1.168212891,10.2077179,12218.13116,Montana,59790.306,4.776630776,0.15978660474885847,,,,1,1,1,135518.94,1
Fort Peck Dam,376.35798,48.00222808,-106.4179871,Federal,Federal,1579.4972444444445,1.2314769,0.83581543,18.57176971435547,0.0,Montana,59445.639233467744,4.774120001489544,0.14424632369355658,Flood Risk Reduction;Irrigation;Navigation;Recreation;Hydroelectric,48.0022280750001,-106.417987085,1,3,1,,0
Albeni Falls Dam,382.832956,48.17958153,-116.999649,Federal,Federal,1464.4795733333333,1.1455768,0.587097168,8.182317733764648,0.0,Idaho,56065.10440608189,4.7486926352451295,0.13374242678843226,Hydroelectric;Navigation;Recreation;Flood Risk Reduction,48.179581532,-116.999649027,1,1,1,,0
Grand Coulee Dam,333.056578,47.9566,-118.9805,Federal,Federal,1578.901902222222,1.2169058,0.56854248,10.238414764404297,21.20548006295937,Washington,52586.36645518239,4.720873163531064,0.1441919545408422,Flood Risk Reduction;Irrigation,47.9566,-118.9805,1,1,1,,0
