Name,surfaceArea_sqkm,latitude,longitude,Ownership,Primary Ownership,Annual_solar_potential,Annual_evaporation,Max_ice_depth,max_wind_ms,nearest_dist_m,state,Annual_solar_potential_witharea_GWh,log_Annual_solar_GWh,Capacity_Factor,purposeIds,latitude_nid,longitude_nid,Ice_binary,max_wind_cat3,annual_evap_cat3,max_HAB_2020_2024,HAB_flag_20k
Antelope,11.05197466,42.90653991,-117.2369537,Local Government,Local Government,1804.4959288888888,1.3704798,0.475708008,13.009561538696287,16547.861082240513,Oregon,1994.3243280153165,3.299795787081726,0.16479414875697618,Irrigation,42.90653991,-117.2369537,1,2,2,,0
Bluewater Dam,7.0010678,35.29222,-108.11183,Local Government,Local Government,2128.222151111111,1.5451446,0.48651123,13.798294067382812,8612.426506,New Mexico,1489.9827573390735,3.173181243,0.19435818731608323,Irrigation;Recreation,35.29222,-108.11183,1,3,3,,0
Cherry Valley,6.2119301,37.9743,-119.9147,Local Government,Local Government,2015.0656,1.6853527,0.14453125,9.731061935424805,0,California,1251.744665411456,3.097515749232277,0.18402425570776257,Other;Irrigation;Hydroelectric;Water Supply,37.9743,-119.9147,1,2,3,,0
Clear Lake,177.65715400000002,38.9227,-122.5663,Local Government,Local Government,1932.2660977777773,2.0367248,0,7.621543884277344,0,California,34328.08957018857,4.535649634704174,0.17646265733130387,Irrigation;Hydroelectric;Water Supply;Flood Risk Reduction,38.9227,-122.5663,0,1,3,,0
Crescent Lake,16.21981488,43.50207901,-121.9735413,Local Government,Local Government,1689.7272888888888,1.2021729,0.414611816,7.493193626403809,18952.917589604207,Oregon,2740.7063823462063,3.4378625111479826,0.15431299441907662,Irrigation;Recreation,43.50207901,-121.9735413,1,1,2,,0
Dillon                                                           ,13.354638,39.6207,-106.0662,Local Government,Local Government,1990.8164266666668,1.0977503,1.322021484,9.055239677,0,Colorado,2658.6632702586885,3.424663335778701,0.18180971933028922,Water Supply;Recreation;Hydroelectric,39.6207,-106.0662,1,1,2,,0
El Capitan,6.32119532,32.8856,-116.8093,Local Government,Local Government,2106.41152,1.7373241,0,8.796178817749023,426.2970242490331,California,1331.5038642218087,3.1243424311638246,0.1923663488584475,Water Supply,32.8856,-116.8093,0,1,3,,0
Fremont Lake,21.853044,42.899,-109.84,Local Government,Local Government,1861.51424,1.0332129,1.218688965,9.178703308105469,4185.169836547498,Wyoming,4067.975259334656,3.609378302960857,0.1700013,Irrigation;Fish and Wildlife Pond,42.899,-109.84,1,1,2,,0
Georgetown Dam,11.533551,46.214775,-113.280138,Local Government,Local Government,1650.8691911111111,1.0152426,1.080444336,9.856406211853027,0,Montana,1904.0384010008747,3.279675703,0.15076430969051247,Hydroelectric,46.214775,-113.280138,1,2,2,,0
Indian Valley,15.175725000000002,39.0795,-122.536,Local Government,Local Government,1932.2660977777773,2.0367248,0,7.621543884277344,0,California,2932.3538926698666,3.4672163821897715,0.17646265733130387,Irrigation;Fish and Wildlife Pond;Recreation;Hydroelectric;Water Supply;Flood Risk Reduction,39.0795,-122.536,0,1,3,,0
Lake Desmet (North Dam),10.73631958,44.517,-106.782,Local Government,Local Government,1692.7479466666666,1.0799131,0.872192383,11.860933303833008,913.1090017515836,Wyoming,1817.388292380213,3.259447725999405,0.15458885357686455,Water Supply,44.517,-106.782,1,2,2,,0
Lake Elsinore,12.78130993,33.65712841,-117.3492678,"Local Government, State",,2050.316197,1.652628675,0,7.846792698,2686.054257,California,2620.572677,3.418396209,0.1872434883105023,,,,0,1,3,5649369.5,1
Lake Pleasant,37.173,33.90930826,-112.2805442,"Federal, Local Government",,2134.673308,2.082242302,0,10.8157444,5573.252688,Arizona,7935.221087,3.899559031,0.19494733406392695,,,,0,2,3,89536.48,1
Lake Washington,88.99695594,47.62905869,-122.2604657,"State, Local Government, Private",,1250.461251,0.706757259,0,11.38550472,930.2600795,Washington,11128.72449,4.046445391,0.11419737452054796,,,,0,2,1,73790.42,1
Lima,23.876474,44.6569,-112.3692,Local Government,Local Government,1770.323911111111,1.0514224,1.168762207,8.972701072692871,12503.431176845155,Montana,4226.909283522276,3.626022927249776,0.1616734165398275,Irrigation,44.6569,-112.3692,1,1,2,,0
Long Valley,21.3674208,37.5872,-118.7064,Local Government,Local Government,2169.7308444444443,1.1730206,0.683227539,7.055652618408203,0,California,4636.155197598378,3.666157965758431,0.19814893556570268,Water Supply;Recreation;Hydroelectric,37.5872,-118.7064,1,1,2,,0
Mcmicken,9.0244978,33.6775,-112.42333,Local Government,Local Government,2150.867626666666,2.1005962,0,10.669302940368652,262.8995784134152,Arizona,1941.0500164944551,3.288036726324829,0.19642626727549464,Flood Risk Reduction,33.6775,-112.42333,0,2,3,,0
Morena,5.9691185,32.686,-116.5479,Local Government,Local Government,2122.145991111111,1.9512564,0,10.401639938354492,3110.5760063366065,California,1266.7340895242169,3.102685458156921,0.19380328685946221,Water Supply,32.686,-116.5479,0,2,3,,0
Nacimiento,21.853044,35.759,-120.884,Local Government,Local Government,2052.9231644444444,1.6147673,0,10.699135780334473,0,California,4486.2620241223685,3.651884635,0.187481568,Hydroelectric;Irrigation;Recreation;Water Supply;Flood Risk Reduction,35.759,-120.884,0,2,3,,0
O`Shaughnessy,7.98040792,37.9484,-119.789,Local Government,Local Government,2082.785991111111,1.3297514,0.55682373,9.346042633,0,California,1662.148181912816,3.220669738893541,0.19020876631151698,Water Supply;Hydroelectric,37.9484,-119.789,1,2,2,,0
Ross,47.2673248,48.7322,-121.0677,Local Government,Local Government,1396.2609777777775,0.40450162,0.717590332,6.212542533874512,0,Washington,6599.752114,3.819527623807223,0.12751241806189748,Hydroelectric;Fish and Wildlife Pond;Recreation;Flood Risk Reduction,48.7322,-121.0677,1,1,1,114815.37,1
Running Water Draw Site 1 Dam,6.3980856600000005,34.518,-103.1495,Local Government,Local Government,2054.010168888889,1.8292425,0,17.29586410522461,538.2997471386329,New Mexico,1314.173300706218,3.1186526396360006,0.18758083734145106,Flood Risk Reduction;Water Supply,34.518,-103.1495,0,3,3,,0
