Name,surfaceArea_sqkm,latitude,longitude,Ownership,Primary Ownership,Annual_solar_potential,Annual_evaporation,Max_ice_depth,max_wind_ms,nearest_dist_m,state,Annual_solar_potential_witharea_GWh,log_Annual_solar_GWh,Capacity_Factor,purposeIds,latitude_nid,longitude_nid,Ice_binary,max_wind_cat3,annual_evap_cat3,max_HAB_2020_2024,HAB_flag_20k
Salton Sea,943.3053798,33.30783647,-115.7735926,"Federal,Public Utility, Tribal",Federal,2192.263091,1.375494227,0.0,10.90452194,12745.53465,California,206797.3568,5.315544983,0.20020667497716893,,,,0,2,3,,0
Chelan,133.4654428,47.8347,-120.0133,Public Utility,Public Utility,1613.8013866666668,1.1288254,0.025878906,7.981001377105713,0.0,Washington,21538.671666272072,4.333218915963043,0.14737912207001522,Hydroelectric;Flood Risk Reduction,47.8347,-120.0133,1,1,2,,0
China Hat,72.84348,42.8414139,-111.6012762,Public Utility,Public Utility,1808.902115555556,1.1695563,0.940917969,7.8674468994140625,7520.129579981669,Idaho,13176.672507642885,4.119805752138095,0.16519654023338415,Irrigation,42.8414139,-111.6012762,1,1,2,,0
Don Pedro Dike A,52.60918,37.7005,-120.4268,Public Utility,Public Utility,1985.6436622222225,1.9065403,0.0,11.357220649719238,0.0,California,10446.308484170811,4.018962846601011,0.1813373207508879,Hydroelectric;Irrigation;Fish and Wildlife Pond;Recreation;Flood Risk Reduction,37.7005,-120.4268,0,2,3,,0
Wanapum,59.0436874,46.873404,-119.97119,Public Utility,Public Utility,1640.1417955555555,1.3565111,0.444335938,10.592001914978027,0.0,Washington,9684.001946845694,3.986054868079098,0.14978463886352106,Hydroelectric;Recreation;Flood Risk Reduction,46.873404,-119.97119,1,2,3,,0
Rocky Reach,39.6996966,47.533443,-120.29549,Public Utility,Public Utility,1590.30144,1.1366913,0.380371094,8.123377799987793,0.0,Washington,6313.448467054311,3.800266639929183,0.1452330082191781,Hydroelectric;Flood Risk Reduction,47.533443,-120.29549,1,1,2,,0
Wells,39.254542,47.9483,-119.8783,Public Utility,Public Utility,1593.4378666666669,1.0944875,0.203125,6.835757732391357,0.0,Washington,6254.967366145708,3.796225048203729,0.14551943987823443,Hydroelectric;Irrigation;Fish and Wildlife Pond;Recreation,47.9483,-119.8783,1,1,2,,0
Riffe Lake,45.423,46.49678261,-122.3324747,Public Utility,,1327.049878,0.021885395,0.008666992,7.950179577,5929.758517,Washington,6027.858661,3.780163061,0.1211917696803653,,,,1,1,1,,0
Camanche Main,30.756136,38.2252,-121.0225,Public Utility,Public Utility,1951.33184,1.7467352,0.0,13.315958023071287,0.0,California,6001.542745217025,3.778262903652336,0.17820382100456622,Water Supply;Fish and Wildlife Pond;Recreation;Hydroelectric;Flood Risk Reduction,38.2252,-121.0225,0,3,3,,0
Exchequer Main,28.7731746,37.585,-120.2702,Public Utility,Public Utility,2002.245831111111,1.96427,0.0,10.366822242736816,0.0,California,5761.096889068212,3.760505179,0.18285350055809235,"Hydroelectric;Fire Protection, Stock, Or Small Fish Pond;Irrigation;Fish and Wildlife Pond;Recreation;Flood Risk Reduction",37.585,-120.2702,0,2,3,,0
Calispell Creek Dike and Pump Plant,35.814711,48.342469,-117.300444,Public Utility,Public Utility,1474.2711466666667,1.1634659,0.688720703,8.421638488769531,0.0,Washington,5280.0595053505285,3.722638816984524,0.13463663439878235,Hydroelectric,48.342469,-117.300444,1,1,2,,0
Priest Rapids,30.6751988,46.646111,-119.9058,Public Utility,Public Utility,1640.1417955555555,1.3565111,0.444335938,10.592001914978027,0.0,Washington,5031.167563885563,3.701668782,0.14978463886352106,Hydroelectric;Recreation;Flood Risk Reduction,46.646111,-119.9058,1,2,3,,0
San Antonio,23.1480392,35.7968,-120.8857,Public Utility,Public Utility,2052.9231644444444,1.6147673,0.0,10.699135780334473,18147.36736418324,California,4752.114588514805,3.6768869043131343,0.187481567529173,Flood Risk Reduction;Irrigation;Water Supply,35.7968,-120.8857,0,2,3,,0
Moses Lake North Dam,27.518648,47.08393438,-119.3335375,Public Utility,Public Utility,1642.0619377777778,1.5155776,0.415710449,11.342196464538574,2449.716374929263,Washington,4518.732445990457,3.6550166275294966,0.1499599943176053,Irrigation;Recreation,47.08393438,-119.3335375,1,2,3,,0
Diamond Valley Lake,19.6677396,33.6811,-117.0661,Public Utility,Public Utility,2093.3499733333333,1.6844288,0.0,7.324279308319092,349.2687991624423,California,4117.146216718695,3.614596290846523,0.19117351354642315,Water Supply;Recreation,33.6811,-117.0661,0,1,3,,0
Big Sage,21.3269522,41.5778,-120.6277,Public Utility,Public Utility,1860.968391111111,1.4580159,0.378112793,12.49200726,4370.752187155805,California,3968.8783922937578,3.598667792188876,0.16995145124302385,Water Supply;Irrigation,41.5778,-120.6277,1,2,3,,0
New Bullards Bar,19.5463338,39.3921,-121.1411,Public Utility,Public Utility,1896.5794133333327,1.6790959,0.0,10.333335876464844,0.0,California,3707.117429122149,3.569036343248884,0.17320359939117194,Hydroelectric;Irrigation;Fish and Wildlife Pond;Recreation;Water Supply;Flood Risk Reduction,39.3921,-121.1411,0,2,3,,0
Warm Springs Dam,18.615556,43.5854,-118.2088,Public Utility,Public Utility,1781.1064888888889,1.3744977,0.383789063,14.73308277130127,1063.161395467626,Oregon,3315.6287585874484,3.5205658978967187,0.16265812683916794,Irrigation,43.5854,-118.2088,1,3,3,,0
Modesto Reservoir,15.378068,37.662,-120.6807,Public Utility,Public Utility,1984.124728888889,1.9013135,0.0,12.206905364990234,1582.7359851592005,California,3051.2005,3.484470746888741,0.18119860537798074,Water Supply;Irrigation,37.662,-120.6807,0,2,3,,0
Antero,13.94547956,38.988337,-105.895576,Public Utility,Public Utility,2056.147342222222,1.1139321,1.269775391,9.822789192199709,10098.434599755748,Colorado,2867.3960733308327,3.4574876861733506,0.1877760129883308,Water Supply;Recreation,38.988337,-105.895576,1,2,2,,0
Eleven Mile Canyon,14.16401,38.905009,-105.477235,Public Utility,Public Utility,2011.24224,1.1577965,1.12109375,10.794560432434082,14587.85459648056,Colorado,2848.72552,3.454650606171215,0.18367509041095892,Water Supply,38.905009,-105.477235,1,2,2,,0
Bridgeport,12.6464375,38.3266,-119.2111,Public Utility,Public Utility,2133.447964444445,1.1842203,0.792358398,8.769285202026367,12248.499224889703,California,2698.0516341848897,3.431050256761756,0.1948354305428717,Water Supply;Irrigation;Recreation,38.3266,-119.2111,1,1,2,,0
Turlock Lake,13.1927636,37.6117,-120.5945,Public Utility,Public Utility,1997.8948266666664,1.9903257,0.0,11.218286514282228,0.0,California,2635.7754145876306,3.4209084027502903,0.18245614855403347,Other;Hydroelectric;Water Supply,37.6117,-120.5945,0,2,3,,0
Grayrocks,14.35421242,42.167778,-104.6875,Public Utility,Public Utility,1810.1343288888888,1.4065778,0.551269531,15.470510482788086,4230.699921357597,Wyoming,2598.305266560525,3.414690173601713,0.1653090711314054,Other,42.167778,-104.6875,1,3,3,,0
Bear Valley,10.72013214,34.2423,-116.9776,Public Utility,Public Utility,2126.3132444444445,1.8026911,0.0,6.932932376861572,6081.057193049958,California,2279.4358951476565,3.357827382993295,0.19418385794013193,Water Supply;Irrigation;Recreation,34.2423,-116.9776,0,1,3,,0
Union Valley,11.5740196,38.8665,-120.4405,Public Utility,Public Utility,1957.459768888889,0.586613,0.085693359,10.033039093017578,0.0,California,2265.567773133147,3.355177058374617,0.1787634492135972,Hydroelectric;Recreation,38.8665,-120.4405,1,2,1,,0
Mathews,11.128865,33.842,-117.4624,Public Utility,Public Utility,2025.28128,1.6244705,0.0,7.846792697906494,586.2072149,California,2253.908195,3.3529362226578985,0.18495719452054793,Water Supply;Irrigation,33.842,-117.4624,0,1,3,,0
Cushman No 1,16.2279086,47.422835,-123.222565,Public Utility,Public Utility,1299.0983111111111,0.43981177,0.000366211,7.2308244705200195,0.0,Washington,2108.164865512548,3.3239045711432587,0.11863911516996449,Hydroelectric;Recreation,47.422835,-123.222565,1,1,1,,0
Rock Island,12.6262032,47.342359,-120.094324,Public Utility,Public Utility,1630.8667733333334,1.2925158,0.438293457,10.20859146118164,0.0,Washington,2059.165527223501,3.3136912590368426,0.14893760487062407,Hydroelectric;Flood Risk Reduction,47.342359,-120.094324,1,2,2,,0
Woodward,9.82172922,37.8646,-120.875,Public Utility,Public Utility,1984.124728888889,1.9013135,0.0,12.206905364990234,0.0,California,1948.7535825852576,3.2897569266038658,0.18119860537798074,Other;Irrigation;Hydroelectric;Water Supply,37.8646,-120.875,0,2,3,,0
