Name,surfaceArea_sqkm,latitude,longitude,Ownership,Primary Ownership,Annual_solar_potential,Annual_evaporation,Max_ice_depth,max_wind_ms,nearest_dist_m,state,Annual_solar_potential_witharea_GWh,log_Annual_solar_GWh,Capacity_Factor,purposeIds,latitude_nid,longitude_nid,Ice_binary,max_wind_cat3,annual_evap_cat3,max_HAB_2020_2024,HAB_flag_20k
Great Salt Lake,3389.498855,41.18366811,-112.5370451,State,State,1892.229538,0.859663747,0.796875,17.19064903,26285.42464,Utah,641370.9853,5.807109309,0.1728063505022831,,,,1,3,1,105681.75,1
Utah Lake,368.8930609,40.18879176,-111.7772839,State,,1949.732653,1.322885247,0.79107666,11.87099934,6443.643795,Utah,71924.28461,4.856875551,0.17805777652968038,,,,1,2,2,3435579.2,1
Goose Lake,376.5515116,41.93000717,-120.4327352,"Federal, Private, State",,1874.454918,1.259722185,0.73223877,12.95931244,8196.084019,California,70582.88329,4.848699395,0.17118309753424657,,,,1,2,2,1976969.6,1
Bear Lake,283.3145035,41.98437766,-111.340666,State,,1870.676969,0.998572818,0.885864258,9.337200165,7062.427682,Idaho,52998.99166,4.724267607,0.17083807936073062,,,,1,1,2,,0
Honey Lake,242.4740171,40.2381498,-120.3700876,"State, Federal, Private",,1956.095254,1.429692091,0.24786377,9.612243652,10247.69522,Nevada,47430.2274,4.676055207,0.17863883598173516,,,,1,1,2,1629296,1
Franklin D Roosevelt Lake,288.6330638,48.38136983,-118.1816807,"Federal, State, Tribe",,1531.929812,1.170670615,0.891906738,13.12123775,15794.00165,Washington,44216.55951,4.645584947,0.13990226593607308,,,,1,2,2,210862.81,1
Mono Lake,182.6120455,38.00804336,-118.9674606,"State, Federal",,2128.46005,1.266721874,0.807983398,9.073967934,10209.90257,California,38868.24434,4.589594924,0.19437991324200915,,,,1,1,2,,0
Summer Lake,127.888,42.8270672,-120.74603,State,,1821.098358,1.275682003,0.621459961,11.68260479,20099.67744,Oregon,23289.66268,4.367163198,0.16631035232876712,,,,1,2,2,3076096.8,1
Coeur d'Alene Lake,108.8266248,47.53431741,-116.8144986,"Tribe, State, Private",,1499.15411,1.175836838,0.425476074,12.07216835,10667.46419,Idaho,16314.78819,4.21258144,0.1369090511415525,,,,1,2,2,57543.996,1
Priest Lake,96.315268,48.4906,-116.9027,State,State,1445.6483555555556,1.0753596,0.733825684,7.509313106536865,328.38782047179524,Idaho,13923.800879909264,4.143757803941827,0.13202268087265348,Other,48.4906,-116.9027,1,1,2,,0
Oroville,63.940388000000006,39.5364,-121.4834,State,State,1897.9501511111112,1.8823147,0,11.401958465576172,0,California,12135.56690667031,4.084060069,0.17332878092338916,Flood Risk Reduction;Irrigation;Recreation;Hydroelectric;Water Supply,39.5364,-121.4834,0,2,3,,0
Lake Washington,88.99695594,47.62905869,-122.2604657,"State, Local Government, Private",,1250.461251,0.706757259,0,11.38550472,930.2600795,Washington,11128.72449,4.046445391,0.11419737452054796,,,,0,2,1,73790.42,1
Willard Bay Reservoir,40.434,41.3815661,-112.0855334,"Federal, State",,1881.645997,0.79706092,0.796875,13.43469715,2529.331802,Utah,7608.247423,3.881284628,0.17183981707762558,,,,1,2,1,816582.3,1
Ute Dam,29.137392,35.34516,-103.44496,State,State,2051.19488,1.8365993,0,17.452165603637695,19716.78398811822,New Mexico,5976.646928695296,3.7764576005804673,0.18732373333333335,Water Supply;Irrigation;Recreation,35.34516,-103.44496,0,3,3,,0
Thermalito Afterbay,27.923334,39.4771,-121.6871,State,State,1901.808071111111,2.0253582,0,12.33085823059082,0,California,5310.482197353131,3.725133957266362,0.17368110238457635,Water Supply;Irrigation;Recreation;Hydroelectric,39.4771,-121.6871,0,2,3,,0
Washoe Lake,22.50742201,39.28061579,-119.8097076,State,,2024.464213,1.392077208,0,8.31276989,1198.666829,California,4556.547039,3.658635858,0.18488257652968038,,,,0,1,2,,0
Heron Reservoir,18.199,36.69494978,-106.6946928,"Federal, State",,2077.684622,1.456343651,0.854858398,10.83516884,10033.04967,Colorado,3781.178244,3.57762715,0.1897428878538813,,,,1,2,2,,0
Zosel Dam,23.471788,48.93349378,-119.4198001,State,State,1506.719857777778,0.9911502,0.78515625,6.043284893035889,1606.5093606592843,Washington,3536.540907715016,3.5485786859988835,0.13759998701166923,Irrigation;Recreation,48.93349378,-119.4198001,1,1,2,,0
Grizzly Valley,16.316939520000002,39.8827,-120.4771,State,State,1957.7386666666664,1.4724393,0.415710449,7.747446060180664,7201.647182265833,California,3194.430341996544,3.5043934223112143,0.17878891933028918,Water Supply;Recreation,39.8827,-120.4771,1,1,2,,0
Lake Elsinore,12.78130993,33.65712841,-117.3492678,"Local Government, State",,2050.316197,1.652628675,0,7.846792698,2686.054257,California,2620.572677,3.418396209,0.1872434883105023,,,,0,1,3,5649369.5,1
Tongue River Dam,14.973382,45.13249739,-106.7696253,State,State,1686.7996444444443,1.2026143,0.864929199,14.232966423034668,5319.431640216775,Montana,2525.7095433730847,3.4023834052203856,0.15404562962962964,Irrigation,45.13249739,-106.7696253,1,3,2,,0
Eagle Nest Dam,10.10096256,36.53166,-105.22954,State,State,2041.8665244444444,1.4253787,0.737121582,12.585588455200195,3868.680078442527,New Mexico,2062.481731593066,3.3143901104808906,0.18647182871638762,Irrigation;Recreation,36.53166,-105.22954,1,2,2,,0
Clifton Court Forebay,10.11715,37.821,-121.5864,State,State,1984.5643377777776,1.753783,0,9.958562850952148,328.40208754742747,California,2007.8135089948444,3.302723371931287,0.18123875230847286,Other;Irrigation;Water Supply,37.821,-121.5864,0,2,3,,0
Perris,9.4696524,33.8633,-117.1978,State,State,2060.561493333333,1.6641521,0,7.840375423431396,1020.1649527884016,California,1951.2801090691585,3.290319617467888,0.18817913181126333,Water Supply;Irrigation;Recreation,33.8633,-117.1978,0,1,3,,0
Castaic,9.0447321,34.5215,-118.6136,State,State,2110.90432,1.7546604,0,11.174753189086914,198.20290352585616,California,1909.2564063132672,3.280864256507494,0.19277665022831053,Water Supply;Irrigation;Recreation,34.5215,-118.6136,0,2,3,,0
Ashley,11.54164472,48.18020421,-114.6182172,State,State,1476.6692977777775,1.0395323,0.869995117,8.973395347595215,6857.85413,Montana,1704.3192403882997,3.2315509468586834,0.13485564363267374,Irrigation,48.18020421,-114.6182172,1,1,2,,0
South Fork Dam,7.689034,40.68332,-115.78463,State,State,1981.8757688888888,1.3554022,0.88269043,10.283246040344238,15551.653563588903,Nevada,1523.871017076281,3.182948209,0.1809932209030949,Recreation;Fish and Wildlife Pond;Flood Risk Reduction,40.68332,-115.78463,1,2,2,,0
Deadmans Basin Dike,8.5793432,46.3387,-109.40896,State,State,1644.1585777777775,1.2040026,0.776733398,14.56461238861084,1596.892571443478,Montana,1410.5800713979447,3.1493977438620195,0.150151468,Irrigation,46.3387,-109.40896,1,3,2,,0
Frenchman,6.394038800000001,39.893,-120.191,State,State,1981.550791111111,1.4499979,0.465576172,8.938494682312012,10501.025749177368,California,1267.011264253514,3.1027804759579465,0.18096354256722477,Water Supply;Irrigation;Recreation,39.893,-120.191,1,1,2,,0
Pyramid,5.220449400000001,34.6443,-118.7645,State,State,2144.66304,1.8957131,0,8.276031494140625,0,California,1119.6104880370176,3.0490669581000094,0.19585963835616438,Water Supply;Recreation;Hydroelectric;Flood Risk Reduction,34.6443,-118.7645,0,1,3,,0
