Name,surfaceArea_sqkm,latitude,longitude,Ownership,Primary Ownership,Annual_solar_potential,Annual_evaporation,Max_ice_depth,max_wind_ms,nearest_dist_m,state,Annual_solar_potential_witharea_GWh,log_Annual_solar_GWh,Capacity_Factor,purposeIds,latitude_nid,longitude_nid,Ice_binary,max_wind_cat3,annual_evap_cat3,max_HAB_2020_2024,HAB_flag_20k
Selis Ksanka Qlispe (Skq),505.048128,47.6775,-114.234,Private,Private,1504.6749866666669,1.0432823,0.657165527,8.447434425354004,0.0,Montana,75993.32853,4.880775467131719,0.13741324079147643,Hydroelectric;Recreation,47.6775,-114.234,1,1,1,,0
Goose Lake,376.5515116,41.93000717,-120.4327352,"Federal, Private, State",,1874.454918,1.259722185,0.73223877,12.95931244,8196.084019,California,70582.88329,4.848699395,0.17118309753424657,,,,1,2,2,,0
Honey Lake,242.4740171,40.2381498,-120.3700876,"State, Federal, Private",,1956.095254,1.429692091,0.24786377,9.612243652,10247.69522,Nevada,47430.2274,4.676055207,0.17863883598173516,,,,1,1,2,,0
Post Falls Middle Channel,194.24928,47.709118,-116.961023,Private,Private,1509.0847288888888,1.2022251,0.347290039,11.059588432312012,0.0,Idaho,29313.862204566183,4.467073042035463,0.13781595697615423,Hydroelectric;Other;Fish and Wildlife Pond;Recreation,47.709118,-116.961023,1,1,2,,0
Lake Almanor,109.524219,40.175537,-121.08979,Private,Private,1930.472533333333,1.5073688,0.292175293,7.433951855,0.0,California,21143.349659150368,4.325173792017996,0.1762988614916286,Hydroelectric,40.175537,-121.08979,1,1,3,,0
Coeur d'Alene Lake,108.8266248,47.53431741,-116.8144986,"Tribe, State, Private",,1499.15411,1.175836838,0.425476074,12.07216835,10667.46419,Idaho,16314.78819,4.21258144,0.1369090511415525,,,,1,2,2,,0
Lake Washington,88.99695594,47.62905869,-122.2604657,"State, Local Government, Private",,1250.461251,0.706757259,0.0,11.38550472,930.2600795,Washington,11128.72449,4.046445391,0.11419737452054796,,,,0,1,1,,0
Brownlee,59.16914006,44.8368,-116.9006,Private,Private,1685.8710755555555,1.1144183,0.639770508,7.143121719360352,0.0,Oregon,9975.154179264951,3.9989196170090633,0.15396082881785897,Hydroelectric;Navigation;Fish and Wildlife Pond;Recreation;Flood Risk Reduction,44.8368,-116.9006,1,1,2,,0
Hebgen Dam,52.60918,44.8637,-111.3358,Private,Private,1713.4280533333333,1.0548979,1.13848877,8.261384010314941,0.0,Montana,9014.204487486297,3.9549274058294346,0.1564774477929985,Hydroelectric;Recreation;Water Supply;Flood Risk Reduction,44.8637,-111.3358,1,1,1,,0
Wheatland No. 2,30.75208914,41.838056,-105.638611,Private,Private,1903.734328888889,1.2614268,0.92590332,18.52916717529297,32728.548662690453,Wyoming,5854.380778086919,3.767480966209134,0.17385701633688486,Irrigation,41.838056,-105.638611,1,3,2,,0
